X,movie,total_gross,Critic_Pick,Review_url
119,Collateral,52560520,1,http://www.nytimes.com/movie/review?res=9800E4DE123CF935A3575BC0A9629C8B63
120,Beverly Hills Chihuahua,52532310,0,http://www.nytimes.com/2008/10/03/movies/03chih.html
121,The Princess Diaries,52092481,0,http://www.nytimes.com/movie/review?res=9E04E4D9143CF930A3575BC0A9679C8B63
122,The Purge: Anarchy,51858905,0,http://www.nytimes.com/2014/07/18/movies/the-purge-anarchy-with-zach-gilford.html
123,Murder on the Orient Express,51735924,0,http://www.nytimes.com/2017/11/08/movies/murder-on-the-orient-express-review-kenneth-branagh.html
124,The Campaign,51435826,0,http://www.nytimes.com/2012/08/10/movies/the-campaign-starring-will-ferrell-and-zach-galifianakis.html
125,Cats & Dogs,50701500,0,http://www.nytimes.com/movie/review?res=9803E4DC1E39F937A35754C0A9679C8B63
126,Christopher Robin,50549374,0,http://www.nytimes.com/2018/08/02/movies/christopher-robin-review-ewan-mcgregor.html
127,The A-Team,50427588,0,http://www.nytimes.com/2010/06/11/movies/11ateam.html
128,Saw IV,50398835,0,http://www.nytimes.com/2007/10/27/movies/27saw.html
129,The Best Man Holiday,50360510,0,http://www.nytimes.com/2013/11/15/movies/the-best-man-holiday-a-sequel-about-former-college-friends.html
130,Brüno,49533475,0,http://www.nytimes.com/2009/07/10/movies/10bruno.html
131,A Good Day to Die Hard,49354464,0,http://www.nytimes.com/2013/02/14/movies/a-good-day-to-die-hard-with-bruce-willis.html
132,"Me, Myself & Irene",49190000,0,http://www.nytimes.com/movie/review?res=9406E6DF1F31F930A15755C0A9669C8B63
133,The Emoji Movie,49107113,0,http://www.nytimes.com/2017/07/27/movies/the-emoji-movie-review.html
134,Date Night,48666799,0,http://www.nytimes.com/2010/04/09/movies/09date.html
135,Tammy,48512069,0,http://www.nytimes.com/2014/07/02/movies/in-tammy-melissa-mccarthy-hits-the-road.html
136,A Nightmare on Elm Street,48479560,0,http://www.nytimes.com/2010/04/30/movies/30nightmare.html
137,Peter Rabbit,48478749,0,http://www.nytimes.com/2018/02/08/movies/peter-rabbit-review.html
138,Think Like a Man Too,48084757,0,http://www.nytimes.com/2014/06/20/movies/think-like-a-man-too-the-wedding-full-of-partying.html
139,Madea's Family Reunion,47748243,0,http://www.nytimes.com/2006/02/25/movies/25made.html
140,The Other Woman,47552736,0,http://www.nytimes.com/2014/04/25/movies/the-other-woman-stars-cameron-diaz-and-leslie-mann.html
141,Skyscraper,47149150,0,http://www.nytimes.com/2018/07/11/movies/skyscraper-review-dwayne-johnson.html
142,Obsessed,46854785,0,http://www.nytimes.com/2009/04/25/movies/25obse.html
143,Bridge to Terabithia,46805679,1,http://www.nytimes.com/2007/02/16/movies/16tera.html
