X,movie,Critic_Pick,Review_url,negative,positive,sentiment
105,Norbit,0,http://www.nytimes.com/2007/02/09/movies/09norb.html,42,24,negative
106,Crazy Rich Asians,0,http://www.nytimes.com/2018/08/14/movies/crazy-rich-asians-review.html,35,43,positive
107,Wrath of the Titans,0,http://www.nytimes.com/2012/03/30/movies/wrath-of-the-titans-starring-sam-worthington.html,14,9,negative
108,Ride Along 2,0,http://www.nytimes.com/2016/01/15/movies/review-ride-along-2-reloads-twin-barrels-of-ice-cube-and-kevin-hart.html,14,12,negative
109,Ted 2,0,http://www.nytimes.com/2015/06/26/movies/review-in-ted-2-the-foulmouthed-bear-tries-to-prove-hes-human.html,65,18,negative
110,The Help,0,http://www.nytimes.com/2011/08/10/movies/the-help-spans-two-worlds-white-and-black-review.html,51,24,negative
111,Edge of Tomorrow,0,http://www.nytimes.com/2014/06/06/movies/tom-cruise-battles-invaders-in-edge-of-tomorrow.html,39,40,positive
112,The Departed,1,http://www.nytimes.com/2006/10/06/movies/06depa.html,50,19,negative
113,Beowulf,0,http://www.nytimes.com/2007/11/16/movies/16beow.html,22,25,positive
114,Erin Brockovich,0,http://www.nytimes.com/movie/review?res=9805EED8163AF934A25750C0A9669C8B63,48,33,negative
115,He's Just Not That Into You,0,http://www.nytimes.com/2009/02/06/movies/06into.html,39,23,negative
116,The Pursuit of Happyness,0,http://www.nytimes.com/2006/12/15/movies/15happ.html,39,43,positive
117,John Carter,0,http://www.nytimes.com/2012/03/09/movies/john-carter-with-taylor-kitsch-and-lynn-collins.html,29,28,negative
118,Non-Stop,0,http://www.nytimes.com/2014/02/28/movies/non-stop-with-liam-neeson-lives-up-to-its-title.html,41,17,negative
119,Collateral,1,http://www.nytimes.com/movie/review?res=9800E4DE123CF935A3575BC0A9629C8B63,45,31,negative
120,Beverly Hills Chihuahua,0,http://www.nytimes.com/2008/10/03/movies/03chih.html,12,8,negative
121,The Princess Diaries,0,http://www.nytimes.com/movie/review?res=9E04E4D9143CF930A3575BC0A9679C8B63,22,30,positive
122,The Purge: Anarchy,0,http://www.nytimes.com/2014/07/18/movies/the-purge-anarchy-with-zach-gilford.html,22,18,negative
123,Murder on the Orient Express,0,http://www.nytimes.com/2017/11/08/movies/murder-on-the-orient-express-review-kenneth-branagh.html,24,13,negative
124,The Campaign,0,http://www.nytimes.com/2012/08/10/movies/the-campaign-starring-will-ferrell-and-zach-galifianakis.html,47,30,negative
125,Cats & Dogs,0,http://www.nytimes.com/movie/review?res=9803E4DC1E39F937A35754C0A9679C8B63,28,25,negative
126,Christopher Robin,0,http://www.nytimes.com/2018/08/02/movies/christopher-robin-review-ewan-mcgregor.html,7,7,neutral
127,The A-Team,0,http://www.nytimes.com/2010/06/11/movies/11ateam.html,42,24,negative
128,Saw IV,0,http://www.nytimes.com/2007/10/27/movies/27saw.html,16,6,negative
129,The Best Man Holiday,0,http://www.nytimes.com/2013/11/15/movies/the-best-man-holiday-a-sequel-about-former-college-friends.html,8,7,negative
130,Brüno,0,http://www.nytimes.com/2009/07/10/movies/10bruno.html,71,34,negative
131,A Good Day to Die Hard,0,http://www.nytimes.com/2013/02/14/movies/a-good-day-to-die-hard-with-bruce-willis.html,42,19,negative
132,"Me, Myself & Irene",0,http://www.nytimes.com/movie/review?res=9406E6DF1F31F930A15755C0A9669C8B63,49,44,negative
133,The Emoji Movie,0,http://www.nytimes.com/2017/07/27/movies/the-emoji-movie-review.html,11,15,positive
134,Date Night,0,http://www.nytimes.com/2010/04/09/movies/09date.html,41,29,negative
135,Tammy,0,http://www.nytimes.com/2014/07/02/movies/in-tammy-melissa-mccarthy-hits-the-road.html,39,28,negative
136,A Nightmare on Elm Street,0,http://www.nytimes.com/2010/04/30/movies/30nightmare.html,36,19,negative
137,Peter Rabbit,0,http://www.nytimes.com/2018/02/08/movies/peter-rabbit-review.html,8,18,positive
138,Think Like a Man Too,0,http://www.nytimes.com/2014/06/20/movies/think-like-a-man-too-the-wedding-full-of-partying.html,10,7,negative
139,Madea's Family Reunion,0,http://www.nytimes.com/2006/02/25/movies/25made.html,14,10,negative
140,The Other Woman,0,http://www.nytimes.com/2014/04/25/movies/the-other-woman-stars-cameron-diaz-and-leslie-mann.html,28,14,negative
141,Skyscraper,0,http://www.nytimes.com/2018/07/11/movies/skyscraper-review-dwayne-johnson.html,23,14,negative
142,Obsessed,0,http://www.nytimes.com/2009/04/25/movies/25obse.html,29,17,negative
143,Bridge to Terabithia,1,http://www.nytimes.com/2007/02/16/movies/16tera.html,15,22,positive
144,Dinner for Schmucks,0,http://www.nytimes.com/2010/07/30/movies/30dinner.html,46,38,negative
145,Save the Last Dance,0,http://www.nytimes.com/movie/review?res=9901E7DC1F3AF931A25752C0A9679C8B63,23,24,positive
146,Knowing,0,http://www.nytimes.com/2009/03/20/movies/20know.html,33,12,negative
147,The Social Network,1,http://www.nytimes.com/2010/09/24/movies/24nyffsocial.html,59,34,negative
148,Pixels,0,http://www.nytimes.com/2015/07/24/movies/review-in-pixels-attack-of-the-retro-video-games.html,8,6,negative
149,War Horse,1,http://www.nytimes.com/2011/12/23/movies/war-horse-directed-by-steven-spielberg-review.html,61,52,negative
150,10 Cloverfield Lane,1,http://www.nytimes.com/2016/03/11/movies/10-cloverfield-lane-review.html,11,12,positive
151,Act of Valor,0,http://www.nytimes.com/2012/02/24/movies/act-of-valor-starring-navy-seal-members.html,5,8,positive
152,Dawn of the Dead,0,http://www.nytimes.com/movie/review?res=9A06EED61231F93AA25750C0A9629C8B63,50,21,negative
153,The Monuments Men,0,http://www.nytimes.com/2014/02/07/movies/clooney-and-company-hunt-for-treasures-in-monuments-men.html,23,33,positive
154,Total Recall,0,http://www.nytimes.com/2012/08/03/movies/movie-review-total-recall-with-colin-farrell.html,32,17,negative
155,The Taking of Pelham 123,1,http://www.nytimes.com/2009/06/12/movies/12pelham.html,56,26,negative
156,Monster House,1,http://www.nytimes.com/2006/07/21/movies/21mons.html,47,26,negative
157,Arrival,1,http://www.nytimes.com/2016/11/11/movies/arrival-review-amy-adams-jeremy-renner.html,26,35,positive
158,The First Purge,0,http://www.nytimes.com/2018/07/03/movies/the-first-purge-review.html,17,6,negative
159,Paul Blart: Mall Cop 2,0,http://www.nytimes.com/2015/04/18/movies/review-paul-blart-mall-cop-2-starring-kevin-james-heads-to-las-vegas.html,11,10,negative
160,The Game Plan,0,http://www.nytimes.com/2007/09/28/movies/28game.html,2,10,positive
161,Two Weeks Notice,0,http://www.nytimes.com/movie/review?res=9A00E2D6103DF933A15751C1A9649C8B63,27,30,positive
